Step,body_V,body_I,source_V,source_I,drain_V,drain_I,gate_V
mos2d,0.0,-3.7486527119020125e-15,0.0,-2.1630499621672547e-16,2.99999999999998,3.602817587567345e-15,-2.9899999999999802
mos2d,0.0,-3.750183476384017e-15,0.0,-3.7275953539311094e-16,2.99999999999998,3.677910235095412e-15,-2.9799999999999804
mos2d,0.0,-3.751838099868658e-15,0.0,-3.432280731742084e-16,2.99999999999998,3.632289011797033e-15,-2.9699999999999807
mos2d,0.0,-3.753465902745479e-15,0.0,-2.313297237532876e-16,2.99999999999998,4.038215491196268e-15,-2.959999999999981
mos2d,0.0,-3.755027527451711e-15,0.0,-2.4509651282632194e-16,2.99999999999998,4.085832573795345e-15,-2.949999999999981
mos2d,0.0,-3.756637545620909e-15,0.0,-2.3357543805362517e-16,2.99999999999998,3.501736103964522e-15,-2.9399999999999813
mos2d,0.0,-3.758246024224007e-15,0.0,-2.813433585083671e-16,2.99999999999998,3.825306243002506e-15,-2.9299999999999815
mos2d,0.0,-3.75998467616117e-15,0.0,-2.0153659778762158e-16,2.99999999999998,3.701925935622137e-15,-2.9199999999999817
mos2d,0.0,-3.7615961383780524e-15,0.0,-2.240726919855132e-16,2.99999999999998,4.044910158423566e-15,-2.909999999999982
mos2d,0.0,-3.763296060184535e-15,0.0,-3.0999381020660384e-16,2.99999999999998,3.793224731702001e-15,-2.899999999999982
mos2d,0.0,-3.7649657669013205e-15,0.0,-4.604200578034242e-16,2.99999999999998,3.6509055938176206e-15,-2.8899999999999824
mos2d,0.0,-3.766617623534025e-15,0.0,-4.014496561328222e-16,2.99999999999998,3.7432364484033845e-15,-2.8799999999999826
mos2d,0.0,-3.768404195748774e-15,0.0,-2.490259376266721e-16,2.99999999999998,3.940328516893707e-15,-2.869999999999983
mos2d,0.0,-3.770073464148966e-15,0.0,-3.693587004510803e-16,2.99999999999998,3.65482482562295e-15,-2.859999999999983
mos2d,0.0,-3.771777949177344e-15,0.0,-2.235499726721606e-16,2.99999999999998,3.629697823761399e-15,-2.849999999999983
mos2d,0.0,-3.773508842789014e-15,0.0,-3.657257992221194e-16,2.99999999999998,3.5869607092791406e-15,-2.8399999999999834
mos2d,0.0,-3.775205730504008e-15,0.0,-2.770204197195655e-16,2.99999999999998,4.160955367900866e-15,-2.8299999999999836
mos2d,0.0,-3.777003978967194e-15,0.0,-2.5200958390553596e-16,2.99999999999998,3.60010132813865e-15,-2.819999999999984
mos2d,0.0,-3.778749347526938e-15,0.0,-3.6484305627941615e-16,2.99999999999998,4.247954496282185e-15,-2.809999999999984
mos2d,0.0,-3.7805553811953594e-15,0.0,-2.0745363478324948e-16,2.99999999999998,4.0548980200292005e-15,-2.7999999999999843
mos2d,0.0,-3.782342964346143e-15,0.0,-3.563029942289629e-16,2.99999999999998,4.142909142475419e-15,-2.7899999999999845
mos2d,0.0,-3.784130532993155e-15,0.0,-2.832578867344318e-16,2.99999999999998,4.06332560064099e-15,-2.7799999999999847
mos2d,0.0,-3.7859705962312905e-15,0.0,-2.0302390174286196e-16,2.99999999999998,3.899836882040354e-15,-2.769999999999985
mos2d,0.0,-3.78786535757332e-15,0.0,-3.4387007367581837e-16,2.99999999999998,4.06023950711393e-15,-2.759999999999985
mos2d,0.0,-3.789662034249325e-15,0.0,-2.8718422452229364e-16,2.99999999999998,3.630718707090806e-15,-2.7499999999999853
mos2d,0.0,-3.791567420201402e-15,0.0,-2.44636346519539e-16,2.99999999999998,3.938402631252588e-15,-2.7399999999999856
mos2d,0.0,-3.793482274138016e-15,0.0,-2.1084817102199067e-16,2.99999999999998,3.658022248944476e-15,-2.7299999999999858
